"filename", "language", "JSON", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package-lock.json", "JSON", 205, 0, 0, 0, 0, 205
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Home\Home.ts", "TypeScript", 0, 22, 0, 0, 7, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Home\HomeLogic.ts", "TypeScript", 0, 12, 0, 6, 1, 19
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\NavbarLogic.ts", "TypeScript", 0, 19, 0, 7, 6, 32
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\navbarStyles.css", "CSS", 0, 0, 1, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", 0, 21, 0, 1, 4, 26
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\AddNewTask\addNewTaskLogic.ts", "TypeScript", 0, 7, 0, 0, 0, 7
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\Loader\Loader.ts", "TypeScript", 0, 18, 0, 0, 4, 22
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\Loader\LoaderLogic.ts", "TypeScript", 0, 15, 0, 0, 3, 18
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\Loader\loaderStyling.css", "CSS", 0, 0, 48, 0, 6, 54
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\NewNotePopup\NewNote.ts", "TypeScript", 0, 24, 0, 0, 8, 32
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\NewNotePopup\NewNoteLogic.ts", "TypeScript", 0, 59, 0, 0, 10, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\NewNotePopup\newNoteStyling.css", "CSS", 0, 0, 116, 0, 14, 130
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 0, -5, 0, 0, 0, -5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarFolderLogic.ts", "TypeScript", 0, 14, 0, 0, -1, 13
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 0, 19, 0, 0, 0, 19
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 0, 2, 0, 0, 2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoListLogic.ts", "TypeScript", 0, 33, 0, 1, 2, 36
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\todoListStyles.css", "CSS", 0, 0, 10, 0, 1, 11
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\userAuthStyles.css", "CSS", 0, 0, 4, 0, 0, 4
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 0, 22, 0, 0, 0, 22
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 0, 21, 0, 0, 0, 21
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\TodoService.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 0, 29, 0, 0, 0, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\TodoStore.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\UserStore.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 0, 46, 0, 0, 7, 53
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 0, -7, 0, 0, 1, -6
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"Total", "-", 206, 402, 181, 15, 76, 880